profile,mode,size,tCompNsPerInt,tDecompNsPerInt,tGetNs,bitsPerInt,ratio,S0bits,Scbits,n0,n1,tStar_ms,T0_ms,Tc_ms,gainT
CAMPAGNE_4G,WITHOUT_OVERLAP,1000,1.640000,1.545000,10.589500,1.024000,0.032000,32000,1024,3,1,-3.096008,96.400000,30.207985,true
CAMPAGNE_4G,OVERLAP,1000,1.755000,1.285000,9.244000,1.024000,0.032000,32000,1024,3,1,-3.096080,96.400000,30.207840,true
CAMPAGNE_4G,OVERFLOW_WITHOUT_OVERLAP,1000,14.015000,2.170000,10.783000,2.016000,0.063000,32000,2016,3,1,-2.990308,96.400000,30.419385,true
CAMPAGNE_4G,OVERFLOW_OVERLAP,1000,5.910000,1.960000,9.093000,2.016000,0.063000,32000,2016,3,1,-2.994465,96.400000,30.411070,true
CAMPAGNE_4G,WITHOUT_OVERLAP,100000,1.576000,1.429650,9.690460,1.000000,0.031250,3200000,100000,267,9,-2.401936,8650.000000,290.300565,true
CAMPAGNE_4G,OVERLAP,100000,1.683650,1.041450,9.088030,1.000000,0.031250,3200000,100000,267,9,-2.402045,8650.000000,290.272510,true
CAMPAGNE_4G,OVERFLOW_WITHOUT_OVERLAP,100000,2.711500,2.161450,9.874440,2.000000,0.062500,3200000,200000,267,17,-2.398051,8650.000000,550.487295,true
CAMPAGNE_4G,OVERFLOW_OVERLAP,100000,2.394850,1.804400,9.138820,2.000000,0.062500,3200000,200000,267,17,-2.398320,8650.000000,550.419925,true
CAMPAGNE_4G,WITHOUT_OVERLAP,1000000,1.389450,1.303660,10.322320,1.000000,0.031250,32000000,1000000,2667,84,-2.399267,86410.000000,2722.693110,true
CAMPAGNE_4G,OVERLAP,1000000,1.663175,1.087395,9.840565,1.000000,0.031250,32000000,1000000,2667,84,-2.399245,86410.000000,2722.750570,true
CAMPAGNE_4G,OVERFLOW_WITHOUT_OVERLAP,1000000,2.423550,2.036445,10.582875,2.000000,0.062500,32000000,2000000,2667,167,-2.398216,86410.000000,5414.459995,true
CAMPAGNE_4G,OVERFLOW_OVERLAP,1000000,2.504870,1.967205,10.368135,2.000000,0.062500,32000000,2000000,2667,167,-2.398211,86410.000000,5414.472075,true
FIBRE_BUREAU,WITHOUT_OVERLAP,1000,1.520000,1.400000,9.661000,1.024000,0.032000,32000,1024,3,1,-0.153420,3.320000,1.013160,true
FIBRE_BUREAU,OVERLAP,1000,1.630000,1.145000,8.648000,1.024000,0.032000,32000,1024,3,1,-0.153493,3.320000,1.013015,true
FIBRE_BUREAU,OVERFLOW_WITHOUT_OVERLAP,1000,2.265000,2.110000,10.316500,2.016000,0.063000,32000,2016,3,1,-0.147733,3.320000,1.024535,true
FIBRE_BUREAU,OVERFLOW_OVERLAP,1000,3.825000,1.960000,10.466500,2.016000,0.063000,32000,2016,3,1,-0.147028,3.320000,1.025945,true
FIBRE_BUREAU,WITHOUT_OVERLAP,100000,1.739700,1.301400,9.615625,1.000000,0.031250,3200000,100000,267,9,-0.118976,299.000000,10.304110,true
FIBRE_BUREAU,OVERLAP,100000,1.790350,1.122600,8.833755,1.000000,0.031250,3200000,100000,267,9,-0.119026,299.000000,10.291295,true
FIBRE_BUREAU,OVERFLOW_WITHOUT_OVERLAP,100000,2.318150,1.937750,9.890535,2.000000,0.062500,3200000,200000,267,17,-0.118298,299.000000,19.425590,true
FIBRE_BUREAU,OVERFLOW_OVERLAP,100000,2.483950,2.006950,9.284845,2.000000,0.062500,3200000,200000,267,17,-0.118204,299.000000,19.449090,true
FIBRE_BUREAU,WITHOUT_OVERLAP,1000000,1.414035,1.301285,10.440045,1.000000,0.031250,32000000,1000000,2667,84,-0.118964,2987.000000,96.715320,true
FIBRE_BUREAU,OVERLAP,1000000,1.622270,1.087730,9.987965,1.000000,0.031250,32000000,1000000,2667,84,-0.118966,2987.000000,96.710000,true
FIBRE_BUREAU,OVERFLOW_WITHOUT_OVERLAP,1000000,2.306750,2.086110,10.800420,2.000000,0.062500,32000000,2000000,2667,167,-0.118243,2987.000000,191.392860,true
FIBRE_BUREAU,OVERFLOW_OVERLAP,1000000,2.626650,1.915710,10.341955,2.000000,0.062500,32000000,2000000,2667,167,-0.118183,2987.000000,191.542360,true
FIBRE_DOMESTIQUE,WITHOUT_OVERLAP,1000,1.625000,1.405000,9.582000,1.024000,0.032000,32000,1024,3,1,-0.013973,0.632000,0.204054,true
FIBRE_DOMESTIQUE,OVERLAP,1000,1.525000,1.075000,8.772000,1.024000,0.032000,32000,1024,3,1,-0.014188,0.632000,0.203624,true
FIBRE_DOMESTIQUE,OVERFLOW_WITHOUT_OVERLAP,1000,2.040000,2.290000,11.918500,2.016000,0.063000,32000,2016,3,1,-0.012827,0.632000,0.206346,true
FIBRE_DOMESTIQUE,OVERFLOW_OVERLAP,1000,3.280000,3.295000,9.287000,2.016000,0.063000,32000,2016,3,1,-0.011705,0.632000,0.208591,true
FIBRE_DOMESTIQUE,WITHOUT_OVERLAP,100000,1.769350,1.420350,9.971715,1.000000,0.031250,3200000,100000,267,9,-0.010779,56.600000,2.218970,true
FIBRE_DOMESTIQUE,OVERLAP,100000,1.679250,1.100800,9.104185,1.000000,0.031250,3200000,100000,267,9,-0.010938,56.600000,2.178005,true
FIBRE_DOMESTIQUE,OVERFLOW_WITHOUT_OVERLAP,100000,2.279850,2.291550,9.739090,2.000000,0.062500,3200000,200000,267,17,-0.010171,56.600000,4.057140,true
FIBRE_DOMESTIQUE,OVERFLOW_OVERLAP,100000,2.624000,1.802500,9.251415,2.000000,0.062500,3200000,200000,267,17,-0.010229,56.600000,4.042650,true
FIBRE_DOMESTIQUE,WITHOUT_OVERLAP,1000000,1.395850,1.380305,10.287370,1.000000,0.031250,32000000,1000000,2667,84,-0.010927,565.400000,20.576155,true
FIBRE_DOMESTIQUE,OVERLAP,1000000,1.648810,1.128355,10.055585,1.000000,0.031250,32000000,1000000,2667,84,-0.010926,565.400000,20.577165,true
FIBRE_DOMESTIQUE,OVERFLOW_WITHOUT_OVERLAP,1000000,2.336740,2.006625,10.672995,2.000000,0.062500,32000000,2000000,2667,167,-0.010263,565.400000,39.743365,true
FIBRE_DOMESTIQUE,OVERFLOW_OVERLAP,1000000,2.533730,1.947940,10.246225,2.000000,0.062500,32000000,2000000,2667,167,-0.010207,565.400000,39.881670,true
SATELLITE,WITHOUT_OVERLAP,1000,1.710000,1.475000,11.284000,1.024000,0.032000,32000,1024,3,1,-0.617928,451.280000,150.044145,true
SATELLITE,OVERLAP,1000,1.645000,1.165000,9.588000,1.024000,0.032000,32000,1024,3,1,-0.618115,451.280000,150.043770,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,1000,2.765000,2.240000,10.769500,2.016000,0.063000,32000,2016,3,1,-0.597178,451.280000,150.085645,true
SATELLITE,OVERFLOW_OVERLAP,1000,2.260000,1.945000,9.909000,2.016000,0.063000,32000,2016,3,1,-0.597578,451.280000,150.084845,true
SATELLITE,WITHOUT_OVERLAP,100000,1.364050,1.295300,9.764175,1.000000,0.031250,3200000,100000,267,9,-0.479589,40178.000000,1354.265935,true
SATELLITE,OVERLAP,100000,1.603100,1.086750,8.939405,1.000000,0.031250,3200000,100000,267,9,-0.479578,40178.000000,1354.268985,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,100000,2.245650,1.883450,9.833220,2.000000,0.062500,3200000,200000,267,17,-0.478348,40178.000000,2558.412910,true
SATELLITE,OVERFLOW_OVERLAP,100000,2.443000,1.986150,9.283640,2.000000,0.062500,3200000,200000,267,17,-0.478228,40178.000000,2558.442915,true
SATELLITE,WITHOUT_OVERLAP,1000000,1.500750,1.313495,10.274895,1.000000,0.031250,32000000,1000000,2667,84,-0.478972,401330.000000,12642.814245,true
SATELLITE,OVERLAP,1000000,1.676695,1.109180,9.631275,1.000000,0.031250,32000000,1000000,2667,84,-0.478983,401330.000000,12642.785875,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,1000000,2.440515,2.010740,10.597780,2.000000,0.062500,32000000,2000000,2667,167,-0.478219,401330.000000,25134.451255,true
SATELLITE,OVERFLOW_OVERLAP,1000000,2.557230,1.930980,10.021170,2.000000,0.062500,32000000,2000000,2667,167,-0.478205,401330.000000,25134.488210,true
SATELLITE,WITHOUT_OVERLAP,1000,1.540000,1.545000,9.575500,1.024000,0.032000,32000,1024,3,1,-0.617978,451.280000,150.044045,true
SATELLITE,OVERLAP,1000,1.640000,1.150000,12.440500,1.024000,0.032000,32000,1024,3,1,-0.618125,451.280000,150.043750,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,1000,2.105000,9.025000,9.306000,2.016000,0.063000,32000,2016,3,1,-0.594115,451.280000,150.091770,true
SATELLITE,OVERFLOW_OVERLAP,1000,2.120000,2.350000,8.612500,2.016000,0.063000,32000,2016,3,1,-0.597445,451.280000,150.085110,true
SATELLITE,WITHOUT_OVERLAP,100000,1.359500,1.467600,9.626750,1.000000,0.031250,3200000,100000,267,9,-0.479524,40178.000000,1354.282710,true
SATELLITE,OVERLAP,100000,1.639250,1.107600,8.934035,1.000000,0.031250,3200000,100000,267,9,-0.479555,40178.000000,1354.274685,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,100000,2.360800,1.971350,10.051140,2.000000,0.062500,3200000,200000,267,17,-0.478267,40178.000000,2558.433215,true
SATELLITE,OVERFLOW_OVERLAP,100000,2.384550,1.768750,9.266870,2.000000,0.062500,3200000,200000,267,17,-0.478339,40178.000000,2558.415330,true
SATELLITE,WITHOUT_OVERLAP,1000000,1.421680,1.344290,10.622680,1.000000,0.031250,32000000,1000000,2667,84,-0.478991,401330.000000,12642.765970,true
SATELLITE,OVERLAP,1000000,1.696200,1.137630,9.746675,1.000000,0.031250,32000000,1000000,2667,84,-0.478965,401330.000000,12642.833830,true
SATELLITE,OVERFLOW_WITHOUT_OVERLAP,1000000,2.425135,2.003980,10.707000,2.000000,0.062500,32000000,2000000,2667,167,-0.478228,401330.000000,25134.429115,true
SATELLITE,OVERFLOW_OVERLAP,1000000,2.689695,2.001675,10.428105,2.000000,0.062500,32000000,2000000,2667,167,-0.478123,401330.000000,25134.691370,true
